LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
QDFB5RNB1L,31.0,17948.0,173363.0,811.0,53.0,2.0,3.46,60.0,0.44,Master's,Unemployed,Married,Yes,Yes,Education,Yes,0.0
P2PN541O9B,33.0,55624.0,230220.0,759.0,6.0,1.0,19.4,12.0,0.37,PhD,Full-time,Married,No,No,Home,No,1.0
94LQT6HKL6,41.0,43158.0,166294.0,822.0,61.0,4.0,22.16,60.0,0.85,Master's,Unemployed,Married,Yes,Yes,Home,Yes,0.0
SP7LEFGGXK,41.0,71020.0,246312.0,668.0,17.0,1.0,10.81,24.0,0.36,High School,Part-time,Single,Yes,Yes,Auto,Yes,1.0
57X2O2R479,39.0,68059.0,145380.0,308.0,80.0,1.0,2.9,36.0,0.47,Bachelor's,Self-employed,Single,Yes,Yes,Education,Yes,0.0
BY8I5C6AR0,40.0,83490.0,75673.0,547.0,81.0,4.0,3.11,24.0,0.57,High School,Part-time,Married,No,Yes,Auto,Yes,0.0
130R3C9AF8,34.0,143692.0,164525.0,599.0,60.0,3.0,22.41,12.0,0.51,Master's,Part-time,Single,Yes,No,Other,Yes,0.0
0EG9N4ONA2,31.0,53834.0,109562.0,639.0,11.0,3.0,23.64,48.0,0.46,Bachelor's,Unemployed,Single,Yes,Yes,Business,Yes,0.0
BQ0SPW2W72,49.0,41314.0,120907.0,630.0,90.0,3.0,22.23,12.0,0.38,High School,Self-employed,Divorced,No,Yes,Other,Yes,1.0
0ZOCMGHNCK,30.0,121482.0,79093.0,626.0,47.0,4.0,8.02,24.0,0.38,Master's,Full-time,Divorced,No,No,Education,Yes,0.0
PLD9FA0HVW,54.0,21112.0,210073.0,742.0,74.0,4.0,4.68,60.0,0.21,High School,Full-time,Single,Yes,No,Business,No,1.0
LCE6DMNZCX,48.0,90812.0,102852.0,607.0,83.0,2.0,24.49,12.0,0.25,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,No,0.0
902R2VQWPC,61.0,26916.0,187623.0,349.0,73.0,3.0,8.12,12.0,0.67,Bachelor's,Unemployed,Married,Yes,Yes,Auto,No,0.0
AKXAXQN7PG,40.0,129890.0,116119.0,701.0,38.0,3.0,9.91,24.0,0.23,High School,Part-time,Divorced,Yes,No,Home,Yes,1.0
WB1VYGZOW9,23.0,33058.0,159970.0,783.0,92.0,1.0,21.4,12.0,0.44,PhD,Unemployed,Single,Yes,No,Business,No,0.0
79U1JMIER7,40.0,133672.0,73772.0,377.0,104.0,3.0,20.91,36.0,0.67,PhD,Full-time,Married,No,No,Business,No,1.0
K8V4INZGH4,51.0,61772.0,241318.0,817.0,49.0,2.0,18.11,48.0,0.47,PhD,Self-employed,Divorced,No,Yes,Home,Yes,0.0
EW77UVP6IV,59.0,102200.0,45912.0,393.0,16.0,1.0,3.76,24.0,0.26,High School,Self-employed,Divorced,Yes,Yes,Other,No,0.0
F3VFJVNMEI,42.0,43061.0,103338.0,473.0,59.0,4.0,19.3,12.0,0.83,PhD,Full-time,Single,Yes,Yes,Other,No,0.0
VS6L66ZRW3,39.0,107112.0,173196.0,555.0,5.0,1.0,23.9,48.0,0.78,PhD,Self-employed,Divorced,No,No,Home,Yes,0.0
8HO3440HWF,42.0,81826.0,58899.0,358.0,117.0,3.0,2.9,24.0,0.4,PhD,Part-time,Single,No,Yes,Education,Yes,0.0
